commune;code_ins;code_postal;mdc;diagnostic;nombre_de_séjours
Aartselaar;11001.0;2630.0;00 Groupe résiduel;Chirurgical;6
Aartselaar;11001.0;2630.0;01 Système nerveux;Médical;24
Aartselaar;11001.0;2630.0;01 Système nerveux;Chirurgical;43
Aartselaar;11001.0;2630.0;02 Affections des yeux;Chirurgical;166
Aartselaar;11001.0;2630.0;03 Nez, gorge, oreilles;Médical;178
Aartselaar;11001.0;2630.0;03 Nez, gorge, oreilles;Chirurgical;142
Aartselaar;11001.0;2630.0;04 Système respiratoire;Médical;8
Aartselaar;11001.0;2630.0;04 Système respiratoire;Chirurgical;< 5
Aartselaar;11001.0;2630.0;05 Système circulatoire;Médical;32
Aartselaar;11001.0;2630.0;05 Système circulatoire;Chirurgical;45
Aartselaar;11001.0;2630.0;06 Système digestif;Médical;420
Aartselaar;11001.0;2630.0;06 Système digestif;Chirurgical;22
Aartselaar;11001.0;2630.0;07 Foie, bile et pancréas;Médical;8
Aartselaar;11001.0;2630.0;07 Foie, bile et pancréas;Chirurgical;< 5
Aartselaar;11001.0;2630.0;08 Système musculaire et tissu conjonctif;Médical;309
Aartselaar;11001.0;2630.0;08 Système musculaire et tissu conjonctif;Chirurgical;231
Aartselaar;11001.0;2630.0;09 Peau, tissu sous-cutané, sein;Médical;13
Aartselaar;11001.0;2630.0;09 Peau, tissu sous-cutané, sein;Chirurgical;73
Aartselaar;11001.0;2630.0;10 Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;< 5
Aartselaar;11001.0;2630.0;11 Reins et voies urinaires;Médical;39
Aartselaar;11001.0;2630.0;11 Reins et voies urinaires;Chirurgical;13
Aartselaar;11001.0;2630.0;12 Organes génitaux masculins;Médical;31
Aartselaar;11001.0;2630.0;12 Organes génitaux masculins;Chirurgical;40
Aartselaar;11001.0;2630.0;13 Organes génitaux féminins;Médical;< 5
Aartselaar;11001.0;2630.0;13 Organes génitaux féminins;Chirurgical;68
Aartselaar;11001.0;2630.0;14 Grossesse et accouchement;Médical;7
Aartselaar;11001.0;2630.0;14 Grossesse et accouchement;Chirurgical;18
Aartselaar;11001.0;2630.0;16 Sang et organes hématopoïétiques;Médical;18
Aartselaar;11001.0;2630.0;16 Sang et organes hématopoïétiques;Chirurgical;< 5
Aartselaar;11001.0;2630.0;17 Maladies myéloprolifératives, néoplasmes peu différenciés;Médical;460
