gemeente;nis_code;postcode;mdc;diagnose;aantal_verblijven
Aartselaar;11001.0;2630.0;00 Restgroep;Chirurgisch;18
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Medisch;153
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Chirurgisch;19
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Medisch;< 5
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Chirurgisch;20
Aartselaar;11001.0;2630.0;03 Neus, keel en oren;Medisch;61
Aartselaar;11001.0;2630.0;03 Neus, keel en oren;Chirurgisch;37
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Medisch;145
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Chirurgisch;10
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Medisch;204
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Chirurgisch;133
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Medisch;139
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Chirurgisch;96
Aartselaar;11001.0;2630.0;07 Lever, gal en pancreas;Medisch;39
Aartselaar;11001.0;2630.0;07 Lever, gal en pancreas;Chirurgisch;43
Aartselaar;11001.0;2630.0;08 Bewegingsstelsel en bindweefsel;Medisch;79
Aartselaar;11001.0;2630.0;08 Bewegingsstelsel en bindweefsel;Chirurgisch;296
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borstklier;Medisch;28
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borstklier;Chirurgisch;51
Aartselaar;11001.0;2630.0;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;47
Aartselaar;11001.0;2630.0;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;34
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Medisch;61
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Chirurgisch;40
Aartselaar;11001.0;2630.0;12 Mannelijke geslachtsorganen;Medisch;< 5
Aartselaar;11001.0;2630.0;12 Mannelijke geslachtsorganen;Chirurgisch;37
Aartselaar;11001.0;2630.0;13 Vrouwelijke geslachtsorganen;Medisch;5
Aartselaar;11001.0;2630.0;13 Vrouwelijke geslachtsorganen;Chirurgisch;62
Aartselaar;11001.0;2630.0;14 Zwangerschap en bevalling;Medisch;107
Aartselaar;11001.0;2630.0;14 Zwangerschap en bevalling;Chirurgisch;20
Aartselaar;11001.0;2630.0;15 Neonati, perinatale aandoeningen;Medisch;11
Aartselaar;11001.0;2630.0;15 Neonati, perinatale aandoeningen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;16 Bloed en bloedvormende organen;Medisch;21
Aartselaar;11001.0;2630.0;16 Bloed en bloedvormende organen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Medisch;77
Aartselaar;11001.0;2630.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Chirurgisch;13
Aartselaar;11001.0;2630.0;18 Infectie en parasitaire ziekten;Medisch;37
Aartselaar;11001.0;2630.0;18 Infectie en parasitaire ziekten;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;19 Psychische stoornissen;Medisch;25
Aartselaar;11001.0;2630.0;20 Alcohol en druggebruik;Medisch;7
Aartselaar;11001.0;2630.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;30
Aartselaar;11001.0;2630.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;14
Aartselaar;11001.0;2630.0;22 Brandwonden;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;23 Factoren die de gezondheid beïnvloeden;Medisch;65
Aartselaar;11001.0;2630.0;23 Factoren die de gezondheid beïnvloeden;Chirurgisch;7
