commune;code_ins;code_postal;mdc_apr-drg_28;diagnostic;nombre_de_séjours
Aartselaar;11001.0;2630.0;00 Groupe résiduel;Chirurgical;< 5
Aartselaar;11001.0;2630.0;01 Système nerveux;Médical;29
Aartselaar;11001.0;2630.0;01 Système nerveux;Chirurgical;33
Aartselaar;11001.0;2630.0;02 Affections des yeux;Médical;< 5
Aartselaar;11001.0;2630.0;02 Affections des yeux;Chirurgical;212
Aartselaar;11001.0;2630.0;03 Nez, gorge, oreilles;Médical;221
Aartselaar;11001.0;2630.0;03 Nez, gorge, oreilles;Chirurgical;161
Aartselaar;11001.0;2630.0;04 Système respiratoire;Médical;25
Aartselaar;11001.0;2630.0;04 Système respiratoire;Chirurgical;< 5
Aartselaar;11001.0;2630.0;05 Système circulatoire;Médical;35
Aartselaar;11001.0;2630.0;05 Système circulatoire;Chirurgical;35
Aartselaar;11001.0;2630.0;06 Système digestif;Médical;440
Aartselaar;11001.0;2630.0;06 Système digestif;Chirurgical;20
Aartselaar;11001.0;2630.0;07 Foie, bile et pancréas;Médical;16
Aartselaar;11001.0;2630.0;08 Système musculaire et tissu conjonctif;Médical;296
Aartselaar;11001.0;2630.0;08 Système musculaire et tissu conjonctif;Chirurgical;254
Aartselaar;11001.0;2630.0;09 Peau, tissu sous-cutané, sein;Médical;43
Aartselaar;11001.0;2630.0;09 Peau, tissu sous-cutané, sein;Chirurgical;29
Aartselaar;11001.0;2630.0;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;< 5
Aartselaar;11001.0;2630.0;11 Reins et voies urinaires;Médical;46
Aartselaar;11001.0;2630.0;11 Reins et voies urinaires;Chirurgical;9
Aartselaar;11001.0;2630.0;12 Organes génitaux masculins;Médical;46
Aartselaar;11001.0;2630.0;12 Organes génitaux masculins;Chirurgical;36
Aartselaar;11001.0;2630.0;13 Organes génitaux féminins;Médical;23
Aartselaar;11001.0;2630.0;13 Organes génitaux féminins;Chirurgical;35
Aartselaar;11001.0;2630.0;14 Grossesse et accouchement;Médical;5
Aartselaar;11001.0;2630.0;14 Grossesse et accouchement;Chirurgical;19
Aartselaar;11001.0;2630.0;16 Sang et organes hématopoïétiques;Médical;22
Aartselaar;11001.0;2630.0;16 Sang et organes hématopoïétiques;Chirurgical;< 5
Aartselaar;11001.0;2630.0;17 Maladies myéloprolifératives, néoplasmes peu différenciés;Médical;557
Aartselaar;11001.0;2630.0;17 Maladies myéloprolifératives, néoplasmes peu différenciés;Chirurgical;< 5
Aartselaar;11001.0;2630.0;20 Alcoolisme et usage de drogue;Médical;< 5
Aartselaar;11001.0;2630.0;21 Traumatismes, empoisonnements, effets toxiques des médicaments;Médical;7
Aartselaar;11001.0;2630.0;21 Traumatismes, empoisonnements, effets toxiques des médicaments;Chirurgical;7
Aartselaar;11001.0;2630.0;23 Facteurs influençant la santé;Médical;280
Aartselaar;11001.0;2630.0;23 Facteurs influençant la santé;Chirurgical;28
Aartselaar;11001.0;2630.0;SS DRG spéciaux;Autre;23
Anvers;11002.0;2000.0;00 Groupe résiduel;Autre;< 5
Anvers;11002.0;2000.0;00 Groupe résiduel;Chirurgical;206
Anvers;11002.0;2000.0;01 Système nerveux;Médical;571
Anvers;11002.0;2000.0;01 Système nerveux;Chirurgical;1.039
Anvers;11002.0;2000.0;02 Affections des yeux;Médical;53
Anvers;11002.0;2000.0;02 Affections des yeux;Chirurgical;6.560
Anvers;11002.0;2000.0;03 Nez, gorge, oreilles;Médical;6.416
Anvers;11002.0;2000.0;03 Nez, gorge, oreilles;Chirurgical;6.693
Anvers;11002.0;2000.0;04 Système respiratoire;Médical;416
Anvers;11002.0;2000.0;04 Système respiratoire;Chirurgical;46
