gemeente;nis_code;postcode;mdc_apr-drg_34;diagnose;aantal_verblijven
Aartselaar;11001.0;2630.0;00 Restgroep;Chirurgisch;10
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Medisch;5
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Chirurgisch;49
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Medisch;9
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Chirurgisch;201
Aartselaar;11001.0;2630.0;03 Neus, keel en oren;Medisch;224
Aartselaar;11001.0;2630.0;03 Neus, keel en oren;Chirurgisch;137
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Medisch;18
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Medisch;82
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Chirurgisch;37
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Medisch;518
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Chirurgisch;34
Aartselaar;11001.0;2630.0;07 Lever, gal en pancreas;Medisch;6
Aartselaar;11001.0;2630.0;08 Bewegingsstelsel en bindweefsel;Medisch;33
Aartselaar;11001.0;2630.0;08 Bewegingsstelsel en bindweefsel;Chirurgisch;217
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borstklier;Medisch;33
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borstklier;Chirurgisch;59
Aartselaar;11001.0;2630.0;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;< 5
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Medisch;62
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Chirurgisch;15
Aartselaar;11001.0;2630.0;12 Mannelijke geslachtsorganen;Medisch;82
Aartselaar;11001.0;2630.0;12 Mannelijke geslachtsorganen;Chirurgisch;12
Aartselaar;11001.0;2630.0;13 Vrouwelijke geslachtsorganen;Medisch;16
Aartselaar;11001.0;2630.0;13 Vrouwelijke geslachtsorganen;Chirurgisch;33
Aartselaar;11001.0;2630.0;14 Zwangerschap en bevalling;Medisch;6
Aartselaar;11001.0;2630.0;14 Zwangerschap en bevalling;Chirurgisch;12
Aartselaar;11001.0;2630.0;16 Bloed en bloedvormende organen;Medisch;22
Aartselaar;11001.0;2630.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Medisch;470
Aartselaar;11001.0;2630.0;17 Myeloproliferatieve ziekten en weinig gediffentieerde neoplasmata;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;18 Infectie en parasitaire ziekten;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;19 Psychische stoornissen;Medisch;15
Aartselaar;11001.0;2630.0;21 Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;< 5
Aartselaar;11001.0;2630.0;23 Factoren die de gezondheid beïnvloeden;Medisch;643
Aartselaar;11001.0;2630.0;23 Factoren die de gezondheid beïnvloeden;Chirurgisch;57
Aartselaar;11001.0;2630.0;SS Speciale DRG's;Andere;< 5
Antwerpen;11002.0;2000.0;00 Restgroep;Andere;< 5
Antwerpen;11002.0;2000.0;00 Restgroep;Chirurgisch;453
Antwerpen;11002.0;2000.0;01 Zenuwstelsel;Medisch;166
Antwerpen;11002.0;2000.0;01 Zenuwstelsel;Chirurgisch;1.107
Antwerpen;11002.0;2000.0;02 Oogaandoeningen;Medisch;160
Antwerpen;11002.0;2000.0;02 Oogaandoeningen;Chirurgisch;6.314
Antwerpen;11002.0;2000.0;03 Neus, keel en oren;Medisch;7.482
Antwerpen;11002.0;2000.0;03 Neus, keel en oren;Chirurgisch;6.389
Antwerpen;11002.0;2000.0;04 Ademhalingsstelsel;Medisch;634
Antwerpen;11002.0;2000.0;04 Ademhalingsstelsel;Chirurgisch;60
Antwerpen;11002.0;2000.0;05 Hart en vaatstelsel;Medisch;1.400
Antwerpen;11002.0;2000.0;05 Hart en vaatstelsel;Chirurgisch;1.063
Antwerpen;11002.0;2000.0;06 Spijsverteringsstelsel;Medisch;7.527
