commune;code_ins;code_postal;mdc_apr-drg_34;diagnostic;nombre_de_séjours
Aartselaar;11001.0;2630.0;00 Groupe résiduel;Chirurgical;43
Aartselaar;11001.0;2630.0;01 Système nerveux;Médical;178
Aartselaar;11001.0;2630.0;01 Système nerveux;Chirurgical;15
Aartselaar;11001.0;2630.0;02 Affections des yeux;Médical;< 5
Aartselaar;11001.0;2630.0;02 Affections des yeux;Chirurgical;11
Aartselaar;11001.0;2630.0;03 Nez, gorge, oreilles;Médical;100
Aartselaar;11001.0;2630.0;03 Nez, gorge, oreilles;Chirurgical;41
Aartselaar;11001.0;2630.0;04 Système respiratoire;Médical;136
Aartselaar;11001.0;2630.0;04 Système respiratoire;Chirurgical;10
Aartselaar;11001.0;2630.0;05 Système circulatoire;Médical;164
Aartselaar;11001.0;2630.0;05 Système circulatoire;Chirurgical;110
Aartselaar;11001.0;2630.0;06 Système digestif;Médical;138
Aartselaar;11001.0;2630.0;06 Système digestif;Chirurgical;108
Aartselaar;11001.0;2630.0;07 Foie, bile et pancréas;Médical;42
Aartselaar;11001.0;2630.0;07 Foie, bile et pancréas;Chirurgical;38
Aartselaar;11001.0;2630.0;08 Système musculaire et tissu conjonctif;Médical;69
Aartselaar;11001.0;2630.0;08 Système musculaire et tissu conjonctif;Chirurgical;311
Aartselaar;11001.0;2630.0;09 Peau, tissu sous-cutané, sein;Médical;35
Aartselaar;11001.0;2630.0;09 Peau, tissu sous-cutané, sein;Chirurgical;34
Aartselaar;11001.0;2630.0;10 Maladies endocriniennes, nutritionnelles et métaboliques;Médical;56
Aartselaar;11001.0;2630.0;10 Maladies endocriniennes, nutritionnelles et métaboliques;Chirurgical;16
Aartselaar;11001.0;2630.0;11 Reins et voies urinaires;Médical;71
Aartselaar;11001.0;2630.0;11 Reins et voies urinaires;Chirurgical;59
Aartselaar;11001.0;2630.0;12 Organes génitaux masculins;Médical;9
Aartselaar;11001.0;2630.0;12 Organes génitaux masculins;Chirurgical;22
Aartselaar;11001.0;2630.0;13 Organes génitaux féminins;Médical;< 5
Aartselaar;11001.0;2630.0;13 Organes génitaux féminins;Chirurgical;40
Aartselaar;11001.0;2630.0;14 Grossesse et accouchement;Médical;97
Aartselaar;11001.0;2630.0;14 Grossesse et accouchement;Chirurgical;32
Aartselaar;11001.0;2630.0;15 Nouveau-nés, affections d'origine périnatale;Médical;5
Aartselaar;11001.0;2630.0;15 Nouveau-nés, affections d'origine périnatale;Chirurgical;< 5
Aartselaar;11001.0;2630.0;16 Sang et organes hématopoïétiques;Médical;17
Aartselaar;11001.0;2630.0;16 Sang et organes hématopoïétiques;Chirurgical;< 5
Aartselaar;11001.0;2630.0;17 Maladies myéloprolifératives, néoplasmes peu différenciés;Médical;52
Aartselaar;11001.0;2630.0;17 Maladies myéloprolifératives, néoplasmes peu différenciés;Chirurgical;< 5
Aartselaar;11001.0;2630.0;18 Maladies infectieuses et parasitaires;Médical;52
Aartselaar;11001.0;2630.0;18 Maladies infectieuses et parasitaires;Chirurgical;< 5
Aartselaar;11001.0;2630.0;19 Troubles mentaux;Médical;10
Aartselaar;11001.0;2630.0;20 Alcoolisme et usage de drogue;Médical;14
Aartselaar;11001.0;2630.0;21 Traumatismes, empoisonnements, effets toxiques des médicaments;Médical;21
Aartselaar;11001.0;2630.0;21 Traumatismes, empoisonnements, effets toxiques des médicaments;Chirurgical;6
Aartselaar;11001.0;2630.0;22 Brûlures;Médical;< 5
Aartselaar;11001.0;2630.0;23 Facteurs influençant la santé;Médical;80
Aartselaar;11001.0;2630.0;23 Facteurs influençant la santé;Chirurgical;23
Aartselaar;11001.0;2630.0;25 Traumatismes multiples;Médical;< 5
Aartselaar;11001.0;2630.0;25 Traumatismes multiples;Chirurgical;< 5
Aartselaar;11001.0;2630.0;PP Pré-MDC;Chirurgical;6
Anvers;11002.0;2000.0;00 Groupe résiduel;Autre;< 5
Anvers;11002.0;2000.0;00 Groupe résiduel;Chirurgical;1.259
Anvers;11002.0;2000.0;01 Système nerveux;Médical;5.655
Anvers;11002.0;2000.0;01 Système nerveux;Chirurgical;573
Anvers;11002.0;2000.0;02 Affections des yeux;Médical;176
Anvers;11002.0;2000.0;02 Affections des yeux;Chirurgical;499
Anvers;11002.0;2000.0;03 Nez, gorge, oreilles;Médical;3.559
Anvers;11002.0;2000.0;03 Nez, gorge, oreilles;Chirurgical;1.993
Anvers;11002.0;2000.0;04 Système respiratoire;Médical;6.179
Anvers;11002.0;2000.0;04 Système respiratoire;Chirurgical;338
Anvers;11002.0;2000.0;05 Système circulatoire;Médical;4.779
Anvers;11002.0;2000.0;05 Système circulatoire;Chirurgical;3.566
Anvers;11002.0;2000.0;06 Système digestif;Médical;5.301
Anvers;11002.0;2000.0;06 Système digestif;Chirurgical;3.041
