gemeente;nis_code;postcode;mdc_apr-drg_34;diagnose;aantal_verblijven
Aartselaar;11001.0;2630.0;00 Restgroep;Chirurgisch;43
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Medisch;178
Aartselaar;11001.0;2630.0;01 Zenuwstelsel;Chirurgisch;15
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Medisch;< 5
Aartselaar;11001.0;2630.0;02 Oogaandoeningen;Chirurgisch;11
Aartselaar;11001.0;2630.0;03 Neus, keel en oren;Medisch;100
Aartselaar;11001.0;2630.0;03 Neus, keel en oren;Chirurgisch;41
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Medisch;136
Aartselaar;11001.0;2630.0;04 Ademhalingsstelsel;Chirurgisch;10
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Medisch;164
Aartselaar;11001.0;2630.0;05 Hart en vaatstelsel;Chirurgisch;110
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Medisch;138
Aartselaar;11001.0;2630.0;06 Spijsverteringsstelsel;Chirurgisch;108
Aartselaar;11001.0;2630.0;07 Lever, gal en pancreas;Medisch;42
Aartselaar;11001.0;2630.0;07 Lever, gal en pancreas;Chirurgisch;38
Aartselaar;11001.0;2630.0;08 Bewegingsstelsel en bindweefsel;Medisch;69
Aartselaar;11001.0;2630.0;08 Bewegingsstelsel en bindweefsel;Chirurgisch;311
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borstklier;Medisch;35
Aartselaar;11001.0;2630.0;09 Huid, subcutis, borstklier;Chirurgisch;34
Aartselaar;11001.0;2630.0;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;56
Aartselaar;11001.0;2630.0;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;16
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Medisch;71
Aartselaar;11001.0;2630.0;11 Nieren en urinewegen;Chirurgisch;59
Aartselaar;11001.0;2630.0;12 Mannelijke geslachtsorganen;Medisch;9
Aartselaar;11001.0;2630.0;12 Mannelijke geslachtsorganen;Chirurgisch;22
Aartselaar;11001.0;2630.0;13 Vrouwelijke geslachtsorganen;Medisch;< 5
Aartselaar;11001.0;2630.0;13 Vrouwelijke geslachtsorganen;Chirurgisch;40
Aartselaar;11001.0;2630.0;14 Zwangerschap en bevalling;Medisch;97
Aartselaar;11001.0;2630.0;14 Zwangerschap en bevalling;Chirurgisch;32
Aartselaar;11001.0;2630.0;15 Neonati, perinatale aandoeningen;Medisch;5
Aartselaar;11001.0;2630.0;15 Neonati, perinatale aandoeningen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;16 Bloed en bloedvormende organen;Medisch;17
