gemeente;nis_code;postcode;mdc_apr-drg_34;soort_diagnose;aantal_verblijven
Aartselaar;11001.0;2630.0;00 - Restgroep;Andere;0
Aartselaar;11001.0;2630.0;00 - Restgroep;Chirurgisch;8
Aartselaar;11001.0;2630.0;00 - Restgroep;Medisch;0
Aartselaar;11001.0;2630.0;01 - Zenuwstelsel;Chirurgisch;43
Aartselaar;11001.0;2630.0;01 - Zenuwstelsel;Medisch;< 5
Aartselaar;11001.0;2630.0;02 - Oogaandoeningen;Chirurgisch;218
Aartselaar;11001.0;2630.0;02 - Oogaandoeningen;Medisch;< 5
Aartselaar;11001.0;2630.0;03 - Neus, keel en oren;Chirurgisch;150
Aartselaar;11001.0;2630.0;03 - Neus, keel en oren;Medisch;262
Aartselaar;11001.0;2630.0;04 - Ademhalingsstelsel;Chirurgisch;5
Aartselaar;11001.0;2630.0;04 - Ademhalingsstelsel;Medisch;16
Aartselaar;11001.0;2630.0;05 - Hart en vaatstelsel;Chirurgisch;53
Aartselaar;11001.0;2630.0;05 - Hart en vaatstelsel;Medisch;77
Aartselaar;11001.0;2630.0;06 - Spijsverteringsstelsel;Chirurgisch;25
Aartselaar;11001.0;2630.0;06 - Spijsverteringsstelsel;Medisch;563
Aartselaar;11001.0;2630.0;07 - Lever, gal en pancreas;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;07 - Lever, gal en pancreas;Medisch;12
Aartselaar;11001.0;2630.0;08 - Bewegingsstelsel en bindweefsel;Chirurgisch;195
Aartselaar;11001.0;2630.0;08 - Bewegingsstelsel en bindweefsel;Medisch;9
Aartselaar;11001.0;2630.0;09 - Huid, subcutis, borstklier;Chirurgisch;52
Aartselaar;11001.0;2630.0;09 - Huid, subcutis, borstklier;Medisch;32
Aartselaar;11001.0;2630.0;10 - Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;10 - Endocriene, voedings- en stofwisselingsziekten;Medisch;< 5
Aartselaar;11001.0;2630.0;11 - Nieren en urinewegen;Chirurgisch;28
Aartselaar;11001.0;2630.0;11 - Nieren en urinewegen;Medisch;54
Aartselaar;11001.0;2630.0;12 - Mannelijke geslachtsorganen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;12 - Mannelijke geslachtsorganen;Medisch;60
Aartselaar;11001.0;2630.0;13 - Vrouwelijke geslachtsorganen;Chirurgisch;29
Aartselaar;11001.0;2630.0;13 - Vrouwelijke geslachtsorganen;Medisch;17
Aartselaar;11001.0;2630.0;14 - Zwangerschap en bevalling;Chirurgisch;13
Aartselaar;11001.0;2630.0;14 - Zwangerschap en bevalling;Medisch;5
Aartselaar;11001.0;2630.0;15 - Neonati, perinatale aandoeningen;Chirurgisch;0
Aartselaar;11001.0;2630.0;15 - Neonati, perinatale aandoeningen;Medisch;0
Aartselaar;11001.0;2630.0;16 - Bloed en bloedvormende organen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;16 - Bloed en bloedvormende organen;Medisch;30
Aartselaar;11001.0;2630.0;17 - Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasma;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;17 - Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasma;Medisch;687
Aartselaar;11001.0;2630.0;18 - Infectie en parasitaire ziekten;Chirurgisch;0
Aartselaar;11001.0;2630.0;18 - Infectie en parasitaire ziekten;Medisch;< 5
Aartselaar;11001.0;2630.0;19 - Psychische stoornissen;Chirurgisch;0
Aartselaar;11001.0;2630.0;19 - Psychische stoornissen;Medisch;0
Aartselaar;11001.0;2630.0;20 - Alcohol en druggebruik;Chirurgisch;0
Aartselaar;11001.0;2630.0;20 - Alcohol en druggebruik;Medisch;0
Aartselaar;11001.0;2630.0;21 - Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;21 - Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;< 5
Aartselaar;11001.0;2630.0;22 - Brandwonden;Chirurgisch;0
Aartselaar;11001.0;2630.0;22 - Brandwonden;Medisch;0
Aartselaar;11001.0;2630.0;23 - Factoren die de gezondheid beïnvloeden;Chirurgisch;54
Aartselaar;11001.0;2630.0;23 - Factoren die de gezondheid beïnvloeden;Medisch;634
Aartselaar;11001.0;2630.0;24 - HIV infecties;Chirurgisch;0
Aartselaar;11001.0;2630.0;24 - HIV infecties;Medisch;0
Aartselaar;11001.0;2630.0;25 - Multipele traumata;Chirurgisch;0
Aartselaar;11001.0;2630.0;25 - Multipele traumata;Medisch;0
Aartselaar;11001.0;2630.0;PP - Pre-MDC;Andere;0
Aartselaar;11001.0;2630.0;PP - Pre-MDC;Chirurgisch;0
Aartselaar;11001.0;2630.0;PP - Pre-MDC;Medisch;0
Aartselaar;11001.0;2630.0;SS - Speciale DRG's;Andere;5
Aartselaar;11001.0;2630.0;SS - Speciale DRG's;Chirurgisch;0
Aartselaar;11001.0;2630.0;SS - Speciale DRG's;Medisch;0
Antwerpen;11002.0;2000.0;00 - Restgroep;Andere;6
Antwerpen;11002.0;2000.0;00 - Restgroep;Chirurgisch;393
Antwerpen;11002.0;2000.0;00 - Restgroep;Medisch;0
Antwerpen;11002.0;2000.0;01 - Zenuwstelsel;Chirurgisch;1.180
Antwerpen;11002.0;2000.0;01 - Zenuwstelsel;Medisch;142
Antwerpen;11002.0;2000.0;02 - Oogaandoeningen;Chirurgisch;6.035
Antwerpen;11002.0;2000.0;02 - Oogaandoeningen;Medisch;64
Antwerpen;11002.0;2000.0;03 - Neus, keel en oren;Chirurgisch;6.190
Antwerpen;11002.0;2000.0;03 - Neus, keel en oren;Medisch;7.790
Antwerpen;11002.0;2000.0;04 - Ademhalingsstelsel;Chirurgisch;64
Antwerpen;11002.0;2000.0;04 - Ademhalingsstelsel;Medisch;589
Antwerpen;11002.0;2000.0;05 - Hart en vaatstelsel;Chirurgisch;1.048
Antwerpen;11002.0;2000.0;05 - Hart en vaatstelsel;Medisch;1.668
Antwerpen;11002.0;2000.0;06 - Spijsverteringsstelsel;Chirurgisch;1.272
Antwerpen;11002.0;2000.0;06 - Spijsverteringsstelsel;Medisch;8.229
Antwerpen;11002.0;2000.0;07 - Lever, gal en pancreas;Chirurgisch;69
Antwerpen;11002.0;2000.0;07 - Lever, gal en pancreas;Medisch;366
Antwerpen;11002.0;2000.0;08 - Bewegingsstelsel en bindweefsel;Chirurgisch;5.776
Antwerpen;11002.0;2000.0;08 - Bewegingsstelsel en bindweefsel;Medisch;622
Antwerpen;11002.0;2000.0;09 - Huid, subcutis, borstklier;Chirurgisch;1.130
Antwerpen;11002.0;2000.0;09 - Huid, subcutis, borstklier;Medisch;1.379
Antwerpen;11002.0;2000.0;10 - Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;42
Antwerpen;11002.0;2000.0;10 - Endocriene, voedings- en stofwisselingsziekten;Medisch;99
Antwerpen;11002.0;2000.0;11 - Nieren en urinewegen;Chirurgisch;571
Antwerpen;11002.0;2000.0;11 - Nieren en urinewegen;Medisch;1.561
Antwerpen;11002.0;2000.0;12 - Mannelijke geslachtsorganen;Chirurgisch;312
Antwerpen;11002.0;2000.0;12 - Mannelijke geslachtsorganen;Medisch;3.173
Antwerpen;11002.0;2000.0;13 - Vrouwelijke geslachtsorganen;Chirurgisch;1.131
Antwerpen;11002.0;2000.0;13 - Vrouwelijke geslachtsorganen;Medisch;588
Antwerpen;11002.0;2000.0;14 - Zwangerschap en bevalling;Chirurgisch;617
Antwerpen;11002.0;2000.0;14 - Zwangerschap en bevalling;Medisch;326
Antwerpen;11002.0;2000.0;15 - Neonati, perinatale aandoeningen;Chirurgisch;0
Antwerpen;11002.0;2000.0;15 - Neonati, perinatale aandoeningen;Medisch;< 5
Antwerpen;11002.0;2000.0;16 - Bloed en bloedvormende organen;Chirurgisch;31
Antwerpen;11002.0;2000.0;16 - Bloed en bloedvormende organen;Medisch;1.167
Antwerpen;11002.0;2000.0;17 - Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasma;Chirurgisch;80
Antwerpen;11002.0;2000.0;17 - Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasma;Medisch;16.180
Antwerpen;11002.0;2000.0;18 - Infectie en parasitaire ziekten;Chirurgisch;25
Antwerpen;11002.0;2000.0;18 - Infectie en parasitaire ziekten;Medisch;27
Antwerpen;11002.0;2000.0;19 - Psychische stoornissen;Chirurgisch;6
Antwerpen;11002.0;2000.0;19 - Psychische stoornissen;Medisch;46
Antwerpen;11002.0;2000.0;20 - Alcohol en druggebruik;Chirurgisch;0
Antwerpen;11002.0;2000.0;20 - Alcohol en druggebruik;Medisch;< 5
Antwerpen;11002.0;2000.0;21 - Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;101
Antwerpen;11002.0;2000.0;21 - Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;60
Antwerpen;11002.0;2000.0;22 - Brandwonden;Chirurgisch;< 5
Antwerpen;11002.0;2000.0;22 - Brandwonden;Medisch;0
Antwerpen;11002.0;2000.0;23 - Factoren die de gezondheid beïnvloeden;Chirurgisch;1.895
Antwerpen;11002.0;2000.0;23 - Factoren die de gezondheid beïnvloeden;Medisch;16.553
Antwerpen;11002.0;2000.0;24 - HIV infecties;Chirurgisch;0
Antwerpen;11002.0;2000.0;24 - HIV infecties;Medisch;14
Antwerpen;11002.0;2000.0;25 - Multipele traumata;Chirurgisch;0
Antwerpen;11002.0;2000.0;25 - Multipele traumata;Medisch;< 5
Antwerpen;11002.0;2000.0;PP - Pre-MDC;Andere;0
Antwerpen;11002.0;2000.0;PP - Pre-MDC;Chirurgisch;0
Antwerpen;11002.0;2000.0;PP - Pre-MDC;Medisch;0
Antwerpen;11002.0;2000.0;SS - Speciale DRG's;Andere;406
Antwerpen;11002.0;2000.0;SS - Speciale DRG's;Chirurgisch;0
Antwerpen;11002.0;2000.0;SS - Speciale DRG's;Medisch;0
Boechout;11004.0;2530.0;00 - Restgroep;Andere;0
Boechout;11004.0;2530.0;00 - Restgroep;Chirurgisch;9
Boechout;11004.0;2530.0;00 - Restgroep;Medisch;0
Boechout;11004.0;2530.0;01 - Zenuwstelsel;Chirurgisch;41
Boechout;11004.0;2530.0;01 - Zenuwstelsel;Medisch;5
Boechout;11004.0;2530.0;02 - Oogaandoeningen;Chirurgisch;185
Boechout;11004.0;2530.0;02 - Oogaandoeningen;Medisch;< 5
Boechout;11004.0;2530.0;03 - Neus, keel en oren;Chirurgisch;141
Boechout;11004.0;2530.0;03 - Neus, keel en oren;Medisch;202
Boechout;11004.0;2530.0;04 - Ademhalingsstelsel;Chirurgisch;< 5
Boechout;11004.0;2530.0;04 - Ademhalingsstelsel;Medisch;15
Boechout;11004.0;2530.0;05 - Hart en vaatstelsel;Chirurgisch;23
Boechout;11004.0;2530.0;05 - Hart en vaatstelsel;Medisch;59
Boechout;11004.0;2530.0;06 - Spijsverteringsstelsel;Chirurgisch;37
Boechout;11004.0;2530.0;06 - Spijsverteringsstelsel;Medisch;267
Boechout;11004.0;2530.0;07 - Lever, gal en pancreas;Chirurgisch;5
Boechout;11004.0;2530.0;07 - Lever, gal en pancreas;Medisch;7
Boechout;11004.0;2530.0;08 - Bewegingsstelsel en bindweefsel;Chirurgisch;183
Boechout;11004.0;2530.0;08 - Bewegingsstelsel en bindweefsel;Medisch;19
Boechout;11004.0;2530.0;09 - Huid, subcutis, borstklier;Chirurgisch;33
Boechout;11004.0;2530.0;09 - Huid, subcutis, borstklier;Medisch;25
Boechout;11004.0;2530.0;10 - Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;0
Boechout;11004.0;2530.0;10 - Endocriene, voedings- en stofwisselingsziekten;Medisch;< 5
Boechout;11004.0;2530.0;11 - Nieren en urinewegen;Chirurgisch;17
Boechout;11004.0;2530.0;11 - Nieren en urinewegen;Medisch;47
Boechout;11004.0;2530.0;12 - Mannelijke geslachtsorganen;Chirurgisch;7
Boechout;11004.0;2530.0;12 - Mannelijke geslachtsorganen;Medisch;64
Boechout;11004.0;2530.0;13 - Vrouwelijke geslachtsorganen;Chirurgisch;34
Boechout;11004.0;2530.0;13 - Vrouwelijke geslachtsorganen;Medisch;14
Boechout;11004.0;2530.0;14 - Zwangerschap en bevalling;Chirurgisch;12
Boechout;11004.0;2530.0;14 - Zwangerschap en bevalling;Medisch;7
Boechout;11004.0;2530.0;15 - Neonati, perinatale aandoeningen;Chirurgisch;0
Boechout;11004.0;2530.0;15 - Neonati, perinatale aandoeningen;Medisch;0
Boechout;11004.0;2530.0;16 - Bloed en bloedvormende organen;Chirurgisch;< 5
Boechout;11004.0;2530.0;16 - Bloed en bloedvormende organen;Medisch;27
Boechout;11004.0;2530.0;17 - Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasma;Chirurgisch;< 5
