commune;code_ins;code_postal;mdc_apr-drg_34;type_de_diagnostic;nombre_de_séjours
Aartselaar;11001.0;2630.0;00 - Groupe résiduel;Autre;0
Aartselaar;11001.0;2630.0;00 - Groupe résiduel;Chirurgical;28
Aartselaar;11001.0;2630.0;00 - Groupe résiduel;Médical;0
Aartselaar;11001.0;2630.0;01 - Système nerveux;Chirurgical;23
Aartselaar;11001.0;2630.0;01 - Système nerveux;Médical;133
Aartselaar;11001.0;2630.0;02 - Affections des yeux;Chirurgical;22
Aartselaar;11001.0;2630.0;02 - Affections des yeux;Médical;< 5
Aartselaar;11001.0;2630.0;03 - Nez, gorge, oreilles;Chirurgical;53
Aartselaar;11001.0;2630.0;03 - Nez, gorge, oreilles;Médical;109
Aartselaar;11001.0;2630.0;04 - Système respiratoire;Chirurgical;13
Aartselaar;11001.0;2630.0;04 - Système respiratoire;Médical;187
Aartselaar;11001.0;2630.0;05 - Système circulatoire;Chirurgical;145
Aartselaar;11001.0;2630.0;05 - Système circulatoire;Médical;167
Aartselaar;11001.0;2630.0;06 - Système digestif;Chirurgical;113
Aartselaar;11001.0;2630.0;06 - Système digestif;Médical;109
Aartselaar;11001.0;2630.0;07 - Foie, bile et pancréas;Chirurgical;39
Aartselaar;11001.0;2630.0;07 - Foie, bile et pancréas;Médical;42
Aartselaar;11001.0;2630.0;08 - Système musculaire et tissu conjonctif;Chirurgical;286
Aartselaar;11001.0;2630.0;08 - Système musculaire et tissu conjonctif;Médical;70
Aartselaar;11001.0;2630.0;09 - Peau, tissu sous-cutané, sein;Chirurgical;42
Aartselaar;11001.0;2630.0;09 - Peau, tissu sous-cutané, sein;Médical;40
Aartselaar;11001.0;2630.0;10 - Maladies endocriniennes, nutritionnelles et métaboliques;Chirurgical;24
Aartselaar;11001.0;2630.0;10 - Maladies endocriniennes, nutritionnelles et métaboliques;Médical;49
Aartselaar;11001.0;2630.0;11 - Reins et voies urinaires;Chirurgical;60
Aartselaar;11001.0;2630.0;11 - Reins et voies urinaires;Médical;77
Aartselaar;11001.0;2630.0;12 - Organes génitaux masculins;Chirurgical;22
Aartselaar;11001.0;2630.0;12 - Organes génitaux masculins;Médical;5
Aartselaar;11001.0;2630.0;13 - Organes génitaux féminins;Chirurgical;48
Aartselaar;11001.0;2630.0;13 - Organes génitaux féminins;Médical;< 5
Aartselaar;11001.0;2630.0;14 - Grossesse et accouchement;Chirurgical;29
Aartselaar;11001.0;2630.0;14 - Grossesse et accouchement;Médical;113
Aartselaar;11001.0;2630.0;15 - Nouveau-nés, affections d'origine périnatale;Chirurgical;0
Aartselaar;11001.0;2630.0;15 - Nouveau-nés, affections d'origine périnatale;Médical;7
Aartselaar;11001.0;2630.0;16 - Sang et organes hématopoïétiques;Chirurgical;0
Aartselaar;11001.0;2630.0;16 - Sang et organes hématopoïétiques;Médical;15
Aartselaar;11001.0;2630.0;17 - Maladies myéloprolifératives, néoplasmes peu différenciés;Chirurgical;11
Aartselaar;11001.0;2630.0;17 - Maladies myéloprolifératives, néoplasmes peu différenciés;Médical;37
Aartselaar;11001.0;2630.0;18 - Maladies infectieuses et parasitaires;Chirurgical;5
Aartselaar;11001.0;2630.0;18 - Maladies infectieuses et parasitaires;Médical;30
Aartselaar;11001.0;2630.0;19 - Troubles mentaux;Chirurgical;< 5
Aartselaar;11001.0;2630.0;19 - Troubles mentaux;Médical;19
Aartselaar;11001.0;2630.0;20 - Alcoolisme et usage de drogue;Chirurgical;0
Aartselaar;11001.0;2630.0;20 - Alcoolisme et usage de drogue;Médical;10
Aartselaar;11001.0;2630.0;21 - Traumatismes, empoisonnements, effets toxiques des médicaments;Chirurgical;14
Aartselaar;11001.0;2630.0;21 - Traumatismes, empoisonnements, effets toxiques des médicaments;Médical;12
Aartselaar;11001.0;2630.0;22 - Brûlures;Chirurgical;0
Aartselaar;11001.0;2630.0;22 - Brûlures;Médical;< 5
Aartselaar;11001.0;2630.0;23 - Facteurs influençant la santé;Chirurgical;18
Aartselaar;11001.0;2630.0;23 - Facteurs influençant la santé;Médical;88
Aartselaar;11001.0;2630.0;24 - Infections HIV;Chirurgical;0
Aartselaar;11001.0;2630.0;24 - Infections HIV;Médical;0
Aartselaar;11001.0;2630.0;25 - Traumatismes multiples;Chirurgical;< 5
Aartselaar;11001.0;2630.0;25 - Traumatismes multiples;Médical;< 5
Aartselaar;11001.0;2630.0;PP - Pré-MDC;Autre;0
Aartselaar;11001.0;2630.0;PP - Pré-MDC;Chirurgical;< 5
Aartselaar;11001.0;2630.0;PP - Pré-MDC;Médical;0
Aartselaar;11001.0;2630.0;SS - DRG spéciaux;Autre;0
Aartselaar;11001.0;2630.0;SS - DRG spéciaux;Chirurgical;0
Aartselaar;11001.0;2630.0;SS - DRG spéciaux;Médical;0
Anvers;11002.0;2000.0;00 - Groupe résiduel;Autre;< 5
Anvers;11002.0;2000.0;00 - Groupe résiduel;Chirurgical;1.513
Anvers;11002.0;2000.0;00 - Groupe résiduel;Médical;0
Anvers;11002.0;2000.0;01 - Système nerveux;Chirurgical;574
Anvers;11002.0;2000.0;01 - Système nerveux;Médical;5.332
Anvers;11002.0;2000.0;02 - Affections des yeux;Chirurgical;413
Anvers;11002.0;2000.0;02 - Affections des yeux;Médical;169
Anvers;11002.0;2000.0;03 - Nez, gorge, oreilles;Chirurgical;2.142
Anvers;11002.0;2000.0;03 - Nez, gorge, oreilles;Médical;3.663
