gemeente;nis_code;postcode;mdc_apr-drg_34;soort_diagnose;aantal_verblijven
Aartselaar;11001.0;2630.0;00 - Restgroep;Andere;0
Aartselaar;11001.0;2630.0;00 - Restgroep;Chirurgisch;32
Aartselaar;11001.0;2630.0;00 - Restgroep;Medisch;0
Aartselaar;11001.0;2630.0;01 - Zenuwstelsel;Chirurgisch;24
Aartselaar;11001.0;2630.0;01 - Zenuwstelsel;Medisch;154
Aartselaar;11001.0;2630.0;02 - Oogaandoeningen;Chirurgisch;16
Aartselaar;11001.0;2630.0;02 - Oogaandoeningen;Medisch;5
Aartselaar;11001.0;2630.0;03 - Neus, keel en oren;Chirurgisch;40
Aartselaar;11001.0;2630.0;03 - Neus, keel en oren;Medisch;116
Aartselaar;11001.0;2630.0;04 - Ademhalingsstelsel;Chirurgisch;9
Aartselaar;11001.0;2630.0;04 - Ademhalingsstelsel;Medisch;149
Aartselaar;11001.0;2630.0;05 - Hart en vaatstelsel;Chirurgisch;172
Aartselaar;11001.0;2630.0;05 - Hart en vaatstelsel;Medisch;142
Aartselaar;11001.0;2630.0;06 - Spijsverteringsstelsel;Chirurgisch;77
Aartselaar;11001.0;2630.0;06 - Spijsverteringsstelsel;Medisch;120
Aartselaar;11001.0;2630.0;07 - Lever, gal en pancreas;Chirurgisch;32
Aartselaar;11001.0;2630.0;07 - Lever, gal en pancreas;Medisch;43
Aartselaar;11001.0;2630.0;08 - Bewegingsstelsel en bindweefsel;Chirurgisch;294
Aartselaar;11001.0;2630.0;08 - Bewegingsstelsel en bindweefsel;Medisch;78
Aartselaar;11001.0;2630.0;09 - Huid, subcutis, borstklier;Chirurgisch;41
Aartselaar;11001.0;2630.0;09 - Huid, subcutis, borstklier;Medisch;36
Aartselaar;11001.0;2630.0;10 - Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;26
Aartselaar;11001.0;2630.0;10 - Endocriene, voedings- en stofwisselingsziekten;Medisch;52
Aartselaar;11001.0;2630.0;11 - Nieren en urinewegen;Chirurgisch;57
Aartselaar;11001.0;2630.0;11 - Nieren en urinewegen;Medisch;71
Aartselaar;11001.0;2630.0;12 - Mannelijke geslachtsorganen;Chirurgisch;28
Aartselaar;11001.0;2630.0;12 - Mannelijke geslachtsorganen;Medisch;8
Aartselaar;11001.0;2630.0;13 - Vrouwelijke geslachtsorganen;Chirurgisch;32
Aartselaar;11001.0;2630.0;13 - Vrouwelijke geslachtsorganen;Medisch;< 5
Aartselaar;11001.0;2630.0;14 - Zwangerschap en bevalling;Chirurgisch;26
Aartselaar;11001.0;2630.0;14 - Zwangerschap en bevalling;Medisch;99
Aartselaar;11001.0;2630.0;15 - Neonati, perinatale aandoeningen;Chirurgisch;0
Aartselaar;11001.0;2630.0;15 - Neonati, perinatale aandoeningen;Medisch;7
Aartselaar;11001.0;2630.0;16 - Bloed en bloedvormende organen;Chirurgisch;0
Aartselaar;11001.0;2630.0;16 - Bloed en bloedvormende organen;Medisch;11
Aartselaar;11001.0;2630.0;17 - Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasma;Chirurgisch;5
Aartselaar;11001.0;2630.0;17 - Myeloproliferatieve ziekten en weinig gedifferentieerde neoplasma;Medisch;35
Aartselaar;11001.0;2630.0;18 - Infectie en parasitaire ziekten;Chirurgisch;6
Aartselaar;11001.0;2630.0;18 - Infectie en parasitaire ziekten;Medisch;44
Aartselaar;11001.0;2630.0;19 - Psychische stoornissen;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;19 - Psychische stoornissen;Medisch;19
Aartselaar;11001.0;2630.0;20 - Alcohol en druggebruik;Chirurgisch;0
Aartselaar;11001.0;2630.0;20 - Alcohol en druggebruik;Medisch;7
Aartselaar;11001.0;2630.0;21 - Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Chirurgisch;5
Aartselaar;11001.0;2630.0;21 - Ongevallen, vergiftigingen, toxische effecten van geneesmiddelen;Medisch;24
Aartselaar;11001.0;2630.0;22 - Brandwonden;Chirurgisch;0
Aartselaar;11001.0;2630.0;22 - Brandwonden;Medisch;0
Aartselaar;11001.0;2630.0;23 - Factoren die de gezondheid beïnvloeden;Chirurgisch;13
Aartselaar;11001.0;2630.0;23 - Factoren die de gezondheid beïnvloeden;Medisch;48
Aartselaar;11001.0;2630.0;24 - HIV infecties;Chirurgisch;0
Aartselaar;11001.0;2630.0;24 - HIV infecties;Medisch;0
Aartselaar;11001.0;2630.0;25 - Multipele traumata;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;25 - Multipele traumata;Medisch;< 5
Aartselaar;11001.0;2630.0;PP - Pre-MDC;Andere;0
Aartselaar;11001.0;2630.0;PP - Pre-MDC;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;PP - Pre-MDC;Medisch;0
Aartselaar;11001.0;2630.0;SS - Speciale DRG's;Andere;0
Aartselaar;11001.0;2630.0;SS - Speciale DRG's;Chirurgisch;0
Aartselaar;11001.0;2630.0;SS - Speciale DRG's;Medisch;0
Antwerpen;11002.0;2000.0;00 - Restgroep;Andere;< 5
Antwerpen;11002.0;2000.0;00 - Restgroep;Chirurgisch;1.490
Antwerpen;11002.0;2000.0;00 - Restgroep;Medisch;0
Antwerpen;11002.0;2000.0;01 - Zenuwstelsel;Chirurgisch;560
Antwerpen;11002.0;2000.0;01 - Zenuwstelsel;Medisch;4.907
Antwerpen;11002.0;2000.0;02 - Oogaandoeningen;Chirurgisch;441
Antwerpen;11002.0;2000.0;02 - Oogaandoeningen;Medisch;157
Antwerpen;11002.0;2000.0;03 - Neus, keel en oren;Chirurgisch;2.123
Antwerpen;11002.0;2000.0;03 - Neus, keel en oren;Medisch;4.003
Antwerpen;11002.0;2000.0;04 - Ademhalingsstelsel;Chirurgisch;365
Antwerpen;11002.0;2000.0;04 - Ademhalingsstelsel;Medisch;5.905
Antwerpen;11002.0;2000.0;05 - Hart en vaatstelsel;Chirurgisch;3.727
Antwerpen;11002.0;2000.0;05 - Hart en vaatstelsel;Medisch;4.284
