gemeente;nis_code;postcode;mdc_apr-drg_36;soort_drg;aantal_verblijven
Aartselaar;11001.0;2630.0;00 - Restgroep;Andere;0
Aartselaar;11001.0;2630.0;00 - Restgroep;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;00 - Restgroep;Medisch;0
Aartselaar;11001.0;2630.0;01 - Zenuwstelsel;Chirurgisch;37
Aartselaar;11001.0;2630.0;01 - Zenuwstelsel;Medisch;< 5
Aartselaar;11001.0;2630.0;02 - Oogaandoeningen;Chirurgisch;162
Aartselaar;11001.0;2630.0;02 - Oogaandoeningen;Medisch;< 5
Aartselaar;11001.0;2630.0;03 - Neus, keel, oren, schedel en aangezicht;Chirurgisch;85
Aartselaar;11001.0;2630.0;03 - Neus, keel, oren, schedel en aangezicht;Medisch;224
Aartselaar;11001.0;2630.0;04 - Ademhalingsstelsel;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;04 - Ademhalingsstelsel;Medisch;9
Aartselaar;11001.0;2630.0;05 - Hart en vaatstelsel;Chirurgisch;42
Aartselaar;11001.0;2630.0;05 - Hart en vaatstelsel;Medisch;69
Aartselaar;11001.0;2630.0;06 - Spijsverteringsstelsel;Chirurgisch;31
Aartselaar;11001.0;2630.0;06 - Spijsverteringsstelsel;Medisch;448
Aartselaar;11001.0;2630.0;07 - Hepatobiliair stelsel en pancreas;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;07 - Hepatobiliair stelsel en pancreas;Medisch;9
Aartselaar;11001.0;2630.0;08 - Musculoskeletaal stelsel en bindweefsel;Chirurgisch;149
Aartselaar;11001.0;2630.0;08 - Musculoskeletaal stelsel en bindweefsel;Medisch;24
Aartselaar;11001.0;2630.0;09 - Huid, subcutis, borst;Chirurgisch;54
Aartselaar;11001.0;2630.0;09 - Huid, subcutis, borst;Medisch;42
Aartselaar;11001.0;2630.0;10 - Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;10 - Endocriene, voedings- en stofwisselingsziekten;Medisch;5
Aartselaar;11001.0;2630.0;11 - Nieren en urinewegen;Chirurgisch;7
Aartselaar;11001.0;2630.0;11 - Nieren en urinewegen;Medisch;50
Aartselaar;11001.0;2630.0;12 - Mannelijk voortplantingsstelsel;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;12 - Mannelijk voortplantingsstelsel;Medisch;35
Aartselaar;11001.0;2630.0;13 - Vrouwelijk voortplantingsstelsel;Chirurgisch;28
Aartselaar;11001.0;2630.0;13 - Vrouwelijk voortplantingsstelsel;Medisch;9
Aartselaar;11001.0;2630.0;14 - Zwangerschap, bevalling en puerperium;Chirurgisch;9
Aartselaar;11001.0;2630.0;14 - Zwangerschap, bevalling en puerperium;Medisch;< 5
Aartselaar;11001.0;2630.0;15 - Neonati - Perinatale aandoeningen;Chirurgisch;0
Aartselaar;11001.0;2630.0;15 - Neonati - Perinatale aandoeningen;Medisch;0
Aartselaar;11001.0;2630.0;16 - Bloed, bloedvormende organen en immuunsysteem;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;16 - Bloed, bloedvormende organen en immuunsysteem;Medisch;31
Aartselaar;11001.0;2630.0;17 - Lymfatische, hematopoëtische en andere maligne aandoeningen, chemo- en radiotherapie;Chirurgisch;< 5
Aartselaar;11001.0;2630.0;17 - Lymfatische, hematopoëtische en andere maligne aandoeningen, chemo- en radiotherapie;Medisch;816
Aartselaar;11001.0;2630.0;18 - Infectieuze en parasitaire ziekten;Chirurgisch;< 5
