commune;code_ins;code_postal;mdc_apr-drg_36;type_de_drg;nombre_de_séjours
Aartselaar;11001.0;2630.0;00 Groupe residuel;Autre;0
Aartselaar;11001.0;2630.0;00 Groupe residuel;Chirurgical;11
Aartselaar;11001.0;2630.0;00 Groupe residuel;Médical;0
Aartselaar;11001.0;2630.0;01 Système nerveux;Chirurgical;37
Aartselaar;11001.0;2630.0;01 Système nerveux;Médical;11
Aartselaar;11001.0;2630.0;02 Affections des yeux;Chirurgical;201
Aartselaar;11001.0;2630.0;02 Affections des yeux;Médical;6
Aartselaar;11001.0;2630.0;03 Nez, gorge, oreilles, crâne et face;Chirurgical;86
Aartselaar;11001.0;2630.0;03 Nez, gorge, oreilles, crâne et face;Médical;273
Aartselaar;11001.0;2630.0;04 Système respiratoire;Chirurgical;0
Aartselaar;11001.0;2630.0;04 Système respiratoire;Médical;22
Aartselaar;11001.0;2630.0;05 Système circulatoire;Chirurgical;50
Aartselaar;11001.0;2630.0;05 Système circulatoire;Médical;102
Aartselaar;11001.0;2630.0;06 Système digestif;Chirurgical;33
Aartselaar;11001.0;2630.0;06 Système digestif;Médical;478
Aartselaar;11001.0;2630.0;07 Système hépatobiliaire et pancréas;Chirurgical;< 5
Aartselaar;11001.0;2630.0;07 Système hépatobiliaire et pancréas;Médical;14
Aartselaar;11001.0;2630.0;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;186
Aartselaar;11001.0;2630.0;08 Système musculo-squelettique et tissu conjonctif;Médical;27
Aartselaar;11001.0;2630.0;09 Peau, tissu sous-cutané, sein;Chirurgical;78
Aartselaar;11001.0;2630.0;09 Peau, tissu sous-cutané, sein;Médical;44
Aartselaar;11001.0;2630.0;10 Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;0
Aartselaar;11001.0;2630.0;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;5
Aartselaar;11001.0;2630.0;11 Reins et voies urinaires;Chirurgical;13
Aartselaar;11001.0;2630.0;11 Reins et voies urinaires;Médical;65
Aartselaar;11001.0;2630.0;12 Système reproducteur masculin;Chirurgical;9
Aartselaar;11001.0;2630.0;12 Système reproducteur masculin;Médical;54
Aartselaar;11001.0;2630.0;13 Système reproducteur féminin;Chirurgical;28
Aartselaar;11001.0;2630.0;13 Système reproducteur féminin;Médical;22
Aartselaar;11001.0;2630.0;14 Grossesse, accouchement et puerpéralité;Chirurgical;10
Aartselaar;11001.0;2630.0;14 Grossesse, accouchement et puerpéralité;Médical;10
Aartselaar;11001.0;2630.0;15 Nouveau-nés - Affections d'origine périnatale;Chirurgical;0
Aartselaar;11001.0;2630.0;15 Nouveau-nés - Affections d'origine périnatale;Médical;0
Aartselaar;11001.0;2630.0;16 Sang, organes hématopoïétiques et système immunitaire;Chirurgical;0
Aartselaar;11001.0;2630.0;16 Sang, organes hématopoïétiques et système immunitaire;Médical;24
Aartselaar;11001.0;2630.0;17 Affections malignes lymph., hématop. et autres, chimio et radiothérapie;Chirurgical;< 5
Aartselaar;11001.0;2630.0;17 Affections malignes lymph., hématop. et autres, chimio et radiothérapie;Médical;783
Aartselaar;11001.0;2630.0;18 Maladies infectieuses et parasitaire;Chirurgical;< 5
Aartselaar;11001.0;2630.0;18 Maladies infectieuses et parasitaire;Médical;< 5
Aartselaar;11001.0;2630.0;19 Troubles mentaux;Chirurgical;0
Aartselaar;11001.0;2630.0;19 Troubles mentaux;Médical;< 5
Aartselaar;11001.0;2630.0;20 Alcoolisme et usage de drogue;Chirurgical;0
Aartselaar;11001.0;2630.0;20 Alcoolisme et usage de drogue;Médical;0
Aartselaar;11001.0;2630.0;21 Empois., effets tox., autres traum. et compl. du traitement;Chirurgical;5
Aartselaar;11001.0;2630.0;21 Empois., effets tox., autres traum. et compl. du traitement;Médical;< 5
Aartselaar;11001.0;2630.0;22 Brulures;Chirurgical;0
Aartselaar;11001.0;2630.0;22 Brulures;Médical;0
Aartselaar;11001.0;2630.0;23 Revalidation, soins de suite, autres facteurs influencant la santé;Chirurgical;39
Aartselaar;11001.0;2630.0;23 Revalidation, soins de suite, autres facteurs influencant la santé;Médical;669
Aartselaar;11001.0;2630.0;24 Infections HIV;Chirurgical;0
Aartselaar;11001.0;2630.0;24 Infections HIV;Médical;0
Aartselaar;11001.0;2630.0;25 Polytraumatismes significatifs;Chirurgical;0
Aartselaar;11001.0;2630.0;25 Polytraumatismes significatifs;Médical;0
Aartselaar;11001.0;2630.0;PP pre-MDC;Autre;0
Aartselaar;11001.0;2630.0;PP pre-MDC;Chirurgical;0
Aartselaar;11001.0;2630.0;PP pre-MDC;Médical;0
Aartselaar;11001.0;2630.0;SS DRGs spéciaux;Autre;19
Aartselaar;11001.0;2630.0;SS DRGs spéciaux;Chirurgical;0
Aartselaar;11001.0;2630.0;SS DRGs spéciaux;Médical;0
Anvers;11002.0;2000.0;00 Groupe residuel;Autre;< 5
Anvers;11002.0;2000.0;00 Groupe residuel;Chirurgical;258
Anvers;11002.0;2000.0;00 Groupe residuel;Médical;0
Anvers;11002.0;2000.0;01 Système nerveux;Chirurgical;952
Anvers;11002.0;2000.0;01 Système nerveux;Médical;173
Anvers;11002.0;2000.0;02 Affections des yeux;Chirurgical;6 483
Anvers;11002.0;2000.0;02 Affections des yeux;Médical;137
Anvers;11002.0;2000.0;03 Nez, gorge, oreilles, crâne et face;Chirurgical;5 032
Anvers;11002.0;2000.0;03 Nez, gorge, oreilles, crâne et face;Médical;9 964
Anvers;11002.0;2000.0;04 Système respiratoire;Chirurgical;43
Anvers;11002.0;2000.0;04 Système respiratoire;Médical;633
Anvers;11002.0;2000.0;05 Système circulatoire;Chirurgical;1 057
Anvers;11002.0;2000.0;05 Système circulatoire;Médical;2 368
Anvers;11002.0;2000.0;06 Système digestif;Chirurgical;1 308
Anvers;11002.0;2000.0;06 Système digestif;Médical;9 033
Anvers;11002.0;2000.0;07 Système hépatobiliaire et pancréas;Chirurgical;97
Anvers;11002.0;2000.0;07 Système hépatobiliaire et pancréas;Médical;428
Anvers;11002.0;2000.0;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;5 433
Anvers;11002.0;2000.0;08 Système musculo-squelettique et tissu conjonctif;Médical;638
Anvers;11002.0;2000.0;09 Peau, tissu sous-cutané, sein;Chirurgical;1 106
Anvers;11002.0;2000.0;09 Peau, tissu sous-cutané, sein;Médical;1 284
Anvers;11002.0;2000.0;10 Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;36
Anvers;11002.0;2000.0;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;120
Anvers;11002.0;2000.0;11 Reins et voies urinaires;Chirurgical;394
Anvers;11002.0;2000.0;11 Reins et voies urinaires;Médical;2 213
Anvers;11002.0;2000.0;12 Système reproducteur masculin;Chirurgical;341
Anvers;11002.0;2000.0;12 Système reproducteur masculin;Médical;2 811
Anvers;11002.0;2000.0;13 Système reproducteur féminin;Chirurgical;1 027
Anvers;11002.0;2000.0;13 Système reproducteur féminin;Médical;697
Anvers;11002.0;2000.0;14 Grossesse, accouchement et puerpéralité;Chirurgical;465
Anvers;11002.0;2000.0;14 Grossesse, accouchement et puerpéralité;Médical;462
Anvers;11002.0;2000.0;15 Nouveau-nés - Affections d'origine périnatale;Chirurgical;0
Anvers;11002.0;2000.0;15 Nouveau-nés - Affections d'origine périnatale;Médical;< 5
Anvers;11002.0;2000.0;16 Sang, organes hématopoïétiques et système immunitaire;Chirurgical;44
Anvers;11002.0;2000.0;16 Sang, organes hématopoïétiques et système immunitaire;Médical;1 272
Anvers;11002.0;2000.0;17 Affections malignes lymph., hématop. et autres, chimio et radiothérapie;Chirurgical;90
Anvers;11002.0;2000.0;17 Affections malignes lymph., hématop. et autres, chimio et radiothérapie;Médical;17 986
Anvers;11002.0;2000.0;18 Maladies infectieuses et parasitaire;Chirurgical;37
Anvers;11002.0;2000.0;18 Maladies infectieuses et parasitaire;Médical;34
Anvers;11002.0;2000.0;19 Troubles mentaux;Chirurgical;5
Anvers;11002.0;2000.0;19 Troubles mentaux;Médical;71
Anvers;11002.0;2000.0;20 Alcoolisme et usage de drogue;Chirurgical;0
Anvers;11002.0;2000.0;20 Alcoolisme et usage de drogue;Médical;19
Anvers;11002.0;2000.0;21 Empois., effets tox., autres traum. et compl. du traitement;Chirurgical;100
Anvers;11002.0;2000.0;21 Empois., effets tox., autres traum. et compl. du traitement;Médical;77
Anvers;11002.0;2000.0;22 Brulures;Chirurgical;< 5
Anvers;11002.0;2000.0;22 Brulures;Médical;< 5
Anvers;11002.0;2000.0;23 Revalidation, soins de suite, autres facteurs influencant la santé;Chirurgical;1 862
Anvers;11002.0;2000.0;23 Revalidation, soins de suite, autres facteurs influencant la santé;Médical;17 444
Anvers;11002.0;2000.0;24 Infections HIV;Chirurgical;0
Anvers;11002.0;2000.0;24 Infections HIV;Médical;14
Anvers;11002.0;2000.0;25 Polytraumatismes significatifs;Chirurgical;0
Anvers;11002.0;2000.0;25 Polytraumatismes significatifs;Médical;0
Anvers;11002.0;2000.0;PP pre-MDC;Autre;0
Anvers;11002.0;2000.0;PP pre-MDC;Chirurgical;0
Anvers;11002.0;2000.0;PP pre-MDC;Médical;0
Anvers;11002.0;2000.0;SS DRGs spéciaux;Autre;308
Anvers;11002.0;2000.0;SS DRGs spéciaux;Chirurgical;0
Anvers;11002.0;2000.0;SS DRGs spéciaux;Médical;0
Boechout;11004.0;2530.0;00 Groupe residuel;Autre;0
Boechout;11004.0;2530.0;00 Groupe residuel;Chirurgical;5
Boechout;11004.0;2530.0;00 Groupe residuel;Médical;0
Boechout;11004.0;2530.0;01 Système nerveux;Chirurgical;47
Boechout;11004.0;2530.0;01 Système nerveux;Médical;< 5
Boechout;11004.0;2530.0;02 Affections des yeux;Chirurgical;217
Boechout;11004.0;2530.0;02 Affections des yeux;Médical;6
Boechout;11004.0;2530.0;03 Nez, gorge, oreilles, crâne et face;Chirurgical;123
Boechout;11004.0;2530.0;03 Nez, gorge, oreilles, crâne et face;Médical;226
Boechout;11004.0;2530.0;04 Système respiratoire;Chirurgical;0
Boechout;11004.0;2530.0;04 Système respiratoire;Médical;11
Boechout;11004.0;2530.0;05 Système circulatoire;Chirurgical;42
Boechout;11004.0;2530.0;05 Système circulatoire;Médical;75
Boechout;11004.0;2530.0;06 Système digestif;Chirurgical;48
Boechout;11004.0;2530.0;06 Système digestif;Médical;319
Boechout;11004.0;2530.0;07 Système hépatobiliaire et pancréas;Chirurgical;< 5
Boechout;11004.0;2530.0;07 Système hépatobiliaire et pancréas;Médical;7
Boechout;11004.0;2530.0;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;180
Boechout;11004.0;2530.0;08 Système musculo-squelettique et tissu conjonctif;Médical;23
Boechout;11004.0;2530.0;09 Peau, tissu sous-cutané, sein;Chirurgical;38
Boechout;11004.0;2530.0;09 Peau, tissu sous-cutané, sein;Médical;33
Boechout;11004.0;2530.0;10 Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;0
Boechout;11004.0;2530.0;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;< 5
Boechout;11004.0;2530.0;11 Reins et voies urinaires;Chirurgical;13
Boechout;11004.0;2530.0;11 Reins et voies urinaires;Médical;49
Boechout;11004.0;2530.0;12 Système reproducteur masculin;Chirurgical;6
Boechout;11004.0;2530.0;12 Système reproducteur masculin;Médical;39
Boechout;11004.0;2530.0;13 Système reproducteur féminin;Chirurgical;26
Boechout;11004.0;2530.0;13 Système reproducteur féminin;Médical;16
Boechout;11004.0;2530.0;14 Grossesse, accouchement et puerpéralité;Chirurgical;11
Boechout;11004.0;2530.0;14 Grossesse, accouchement et puerpéralité;Médical;5
Boechout;11004.0;2530.0;15 Nouveau-nés - Affections d'origine périnatale;Chirurgical;0
Boechout;11004.0;2530.0;15 Nouveau-nés - Affections d'origine périnatale;Médical;0
Boechout;11004.0;2530.0;16 Sang, organes hématopoïétiques et système immunitaire;Chirurgical;0
Boechout;11004.0;2530.0;16 Sang, organes hématopoïétiques et système immunitaire;Médical;29
Boechout;11004.0;2530.0;17 Affections malignes lymph., hématop. et autres, chimio et radiothérapie;Chirurgical;< 5
Boechout;11004.0;2530.0;17 Affections malignes lymph., hématop. et autres, chimio et radiothérapie;Médical;583
Boechout;11004.0;2530.0;18 Maladies infectieuses et parasitaire;Chirurgical;< 5
Boechout;11004.0;2530.0;18 Maladies infectieuses et parasitaire;Médical;< 5
Boechout;11004.0;2530.0;19 Troubles mentaux;Chirurgical;< 5
Boechout;11004.0;2530.0;19 Troubles mentaux;Médical;0
Boechout;11004.0;2530.0;20 Alcoolisme et usage de drogue;Chirurgical;0
Boechout;11004.0;2530.0;20 Alcoolisme et usage de drogue;Médical;< 5
Boechout;11004.0;2530.0;21 Empois., effets tox., autres traum. et compl. du traitement;Chirurgical;< 5
Boechout;11004.0;2530.0;21 Empois., effets tox., autres traum. et compl. du traitement;Médical;< 5
Boechout;11004.0;2530.0;22 Brulures;Chirurgical;< 5
Boechout;11004.0;2530.0;22 Brulures;Médical;0
Boechout;11004.0;2530.0;23 Revalidation, soins de suite, autres facteurs influencant la santé;Chirurgical;39
Boechout;11004.0;2530.0;23 Revalidation, soins de suite, autres facteurs influencant la santé;Médical;603
Boechout;11004.0;2530.0;24 Infections HIV;Chirurgical;0
Boechout;11004.0;2530.0;24 Infections HIV;Médical;0
Boechout;11004.0;2530.0;25 Polytraumatismes significatifs;Chirurgical;0
Boechout;11004.0;2530.0;25 Polytraumatismes significatifs;Médical;0
Boechout;11004.0;2530.0;PP pre-MDC;Autre;0
Boechout;11004.0;2530.0;PP pre-MDC;Chirurgical;0
Boechout;11004.0;2530.0;PP pre-MDC;Médical;0
Boechout;11004.0;2530.0;SS DRGs spéciaux;Autre;7
Boechout;11004.0;2530.0;SS DRGs spéciaux;Chirurgical;0
Boechout;11004.0;2530.0;SS DRGs spéciaux;Médical;0
Boom;11005.0;2850.0;00 Groupe residuel;Autre;0
Boom;11005.0;2850.0;00 Groupe residuel;Chirurgical;10
Boom;11005.0;2850.0;00 Groupe residuel;Médical;0
Boom;11005.0;2850.0;01 Système nerveux;Chirurgical;50
Boom;11005.0;2850.0;01 Système nerveux;Médical;5
Boom;11005.0;2850.0;02 Affections des yeux;Chirurgical;260
Boom;11005.0;2850.0;02 Affections des yeux;Médical;< 5
Boom;11005.0;2850.0;03 Nez, gorge, oreilles, crâne et face;Chirurgical;130
Boom;11005.0;2850.0;03 Nez, gorge, oreilles, crâne et face;Médical;410
Boom;11005.0;2850.0;04 Système respiratoire;Chirurgical;< 5
Boom;11005.0;2850.0;04 Système respiratoire;Médical;14
Boom;11005.0;2850.0;05 Système circulatoire;Chirurgical;80
Boom;11005.0;2850.0;05 Système circulatoire;Médical;88
Boom;11005.0;2850.0;06 Système digestif;Chirurgical;51
Boom;11005.0;2850.0;06 Système digestif;Médical;542
Boom;11005.0;2850.0;07 Système hépatobiliaire et pancréas;Chirurgical;< 5
Boom;11005.0;2850.0;07 Système hépatobiliaire et pancréas;Médical;15
Boom;11005.0;2850.0;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;264
Boom;11005.0;2850.0;08 Système musculo-squelettique et tissu conjonctif;Médical;31
Boom;11005.0;2850.0;09 Peau, tissu sous-cutané, sein;Chirurgical;72
Boom;11005.0;2850.0;09 Peau, tissu sous-cutané, sein;Médical;60
Boom;11005.0;2850.0;10 Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;0
Boom;11005.0;2850.0;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;5
Boom;11005.0;2850.0;11 Reins et voies urinaires;Chirurgical;18
Boom;11005.0;2850.0;11 Reins et voies urinaires;Médical;81
Boom;11005.0;2850.0;12 Système reproducteur masculin;Chirurgical;14
Boom;11005.0;2850.0;12 Système reproducteur masculin;Médical;119
Boom;11005.0;2850.0;13 Système reproducteur féminin;Chirurgical;26
Boom;11005.0;2850.0;13 Système reproducteur féminin;Médical;18
Boom;11005.0;2850.0;14 Grossesse, accouchement et puerpéralité;Chirurgical;12
Boom;11005.0;2850.0;14 Grossesse, accouchement et puerpéralité;Médical;14
Boom;11005.0;2850.0;15 Nouveau-nés - Affections d'origine périnatale;Chirurgical;0
Boom;11005.0;2850.0;15 Nouveau-nés - Affections d'origine périnatale;Médical;0
Boom;11005.0;2850.0;16 Sang, organes hématopoïétiques et système immunitaire;Chirurgical;< 5
Boom;11005.0;2850.0;16 Sang, organes hématopoïétiques et système immunitaire;Médical;49
Boom;11005.0;2850.0;17 Affections malignes lymph., hématop. et autres, chimio et radiothérapie;Chirurgical;< 5
Boom;11005.0;2850.0;17 Affections malignes lymph., hématop. et autres, chimio et radiothérapie;Médical;670
Boom;11005.0;2850.0;18 Maladies infectieuses et parasitaire;Chirurgical;< 5
Boom;11005.0;2850.0;18 Maladies infectieuses et parasitaire;Médical;0
Boom;11005.0;2850.0;19 Troubles mentaux;Chirurgical;0
Boom;11005.0;2850.0;19 Troubles mentaux;Médical;< 5
Boom;11005.0;2850.0;20 Alcoolisme et usage de drogue;Chirurgical;0
Boom;11005.0;2850.0;20 Alcoolisme et usage de drogue;Médical;0
Boom;11005.0;2850.0;21 Empois., effets tox., autres traum. et compl. du traitement;Chirurgical;< 5
Boom;11005.0;2850.0;21 Empois., effets tox., autres traum. et compl. du traitement;Médical;< 5
Boom;11005.0;2850.0;22 Brulures;Chirurgical;0
Boom;11005.0;2850.0;22 Brulures;Médical;0
Boom;11005.0;2850.0;23 Revalidation, soins de suite, autres facteurs influencant la santé;Chirurgical;41
Boom;11005.0;2850.0;23 Revalidation, soins de suite, autres facteurs influencant la santé;Médical;836
Boom;11005.0;2850.0;24 Infections HIV;Chirurgical;0
Boom;11005.0;2850.0;24 Infections HIV;Médical;0
Boom;11005.0;2850.0;25 Polytraumatismes significatifs;Chirurgical;0
Boom;11005.0;2850.0;25 Polytraumatismes significatifs;Médical;0
Boom;11005.0;2850.0;PP pre-MDC;Autre;0
Boom;11005.0;2850.0;PP pre-MDC;Chirurgical;0
Boom;11005.0;2850.0;PP pre-MDC;Médical;0
Boom;11005.0;2850.0;SS DRGs spéciaux;Autre;30
Boom;11005.0;2850.0;SS DRGs spéciaux;Chirurgical;0
Boom;11005.0;2850.0;SS DRGs spéciaux;Médical;0
Borsbeek;11007.0;2150.0;00 Groupe residuel;Autre;0
Borsbeek;11007.0;2150.0;00 Groupe residuel;Chirurgical;6
Borsbeek;11007.0;2150.0;00 Groupe residuel;Médical;0
Borsbeek;11007.0;2150.0;01 Système nerveux;Chirurgical;27
Borsbeek;11007.0;2150.0;01 Système nerveux;Médical;< 5
Borsbeek;11007.0;2150.0;02 Affections des yeux;Chirurgical;170
Borsbeek;11007.0;2150.0;02 Affections des yeux;Médical;8
Borsbeek;11007.0;2150.0;03 Nez, gorge, oreilles, crâne et face;Chirurgical;182
Borsbeek;11007.0;2150.0;03 Nez, gorge, oreilles, crâne et face;Médical;207
Borsbeek;11007.0;2150.0;04 Système respiratoire;Chirurgical;< 5
Borsbeek;11007.0;2150.0;04 Système respiratoire;Médical;6
Borsbeek;11007.0;2150.0;05 Système circulatoire;Chirurgical;27
Borsbeek;11007.0;2150.0;05 Système circulatoire;Médical;69
Borsbeek;11007.0;2150.0;06 Système digestif;Chirurgical;30
Borsbeek;11007.0;2150.0;06 Système digestif;Médical;328
Borsbeek;11007.0;2150.0;07 Système hépatobiliaire et pancréas;Chirurgical;< 5
Borsbeek;11007.0;2150.0;07 Système hépatobiliaire et pancréas;Médical;8
Borsbeek;11007.0;2150.0;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;162
Borsbeek;11007.0;2150.0;08 Système musculo-squelettique et tissu conjonctif;Médical;8
Borsbeek;11007.0;2150.0;09 Peau, tissu sous-cutané, sein;Chirurgical;12
Borsbeek;11007.0;2150.0;09 Peau, tissu sous-cutané, sein;Médical;33
Borsbeek;11007.0;2150.0;10 Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;< 5
Borsbeek;11007.0;2150.0;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;< 5
Borsbeek;11007.0;2150.0;11 Reins et voies urinaires;Chirurgical;8
Borsbeek;11007.0;2150.0;11 Reins et voies urinaires;Médical;63
Borsbeek;11007.0;2150.0;12 Système reproducteur masculin;Chirurgical;6
Borsbeek;11007.0;2150.0;12 Système reproducteur masculin;Médical;58
Borsbeek;11007.0;2150.0;13 Système reproducteur féminin;Chirurgical;29
Borsbeek;11007.0;2150.0;13 Système reproducteur féminin;Médical;11
Borsbeek;11007.0;2150.0;14 Grossesse, accouchement et puerpéralité;Chirurgical;8
Borsbeek;11007.0;2150.0;14 Grossesse, accouchement et puerpéralité;Médical;7
Borsbeek;11007.0;2150.0;15 Nouveau-nés - Affections d'origine périnatale;Chirurgical;0
Borsbeek;11007.0;2150.0;15 Nouveau-nés - Affections d'origine périnatale;Médical;0
Borsbeek;11007.0;2150.0;16 Sang, organes hématopoïétiques et système immunitaire;Chirurgical;0
Borsbeek;11007.0;2150.0;16 Sang, organes hématopoïétiques et système immunitaire;Médical;20
Borsbeek;11007.0;2150.0;17 Affections malignes lymph., hématop. et autres, chimio et radiothérapie;Chirurgical;< 5
Borsbeek;11007.0;2150.0;17 Affections malignes lymph., hématop. et autres, chimio et radiothérapie;Médical;341
Borsbeek;11007.0;2150.0;18 Maladies infectieuses et parasitaire;Chirurgical;0
Borsbeek;11007.0;2150.0;18 Maladies infectieuses et parasitaire;Médical;0
Borsbeek;11007.0;2150.0;19 Troubles mentaux;Chirurgical;0
Borsbeek;11007.0;2150.0;19 Troubles mentaux;Médical;0
